path,mean_intensity,std_intensity,min_intensity,max_intensity,skewness,kurtosis,entropy,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,haralick_9,haralick_10,haralick_11,haralick_12,haralick_13
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-20-24.jpg,125.68686224489795,68.17245088174087,0,254,-0.02538564906622379,-1.0626333368382428,7.876110476347919,0.0003826420157945015,268.3081166215531,0.970885771586257,4612.0505785577025,0.241551594461703,252.19374749984206,18179.894197609246,8.863232223193698,12.640432661359204,0.0003416779129558137,4.2235255043314615,-0.39592219227836867,0.9989398817241258
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-21-25.jpg,119.47205835459184,71.45676938192558,0,248,0.21163325947941336,-1.152881016189889,7.837378520684502,0.0003287314983736874,600.3695959107292,0.940904533970738,5082.070474665879,0.1442512043415337,239.8873875647079,19727.912302752786,8.824869221175284,13.564597008179526,0.00013939912298449334,5.358687887119732,-0.27008343581484073,0.9917971965597248
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-22-27.jpg,123.75617825255102,64.98987532213455,0,254,-0.0398044889890405,-0.8374165968953715,7.815659707585563,0.0005071674206664889,255.79777988213976,0.9694068931991217,4184.62281153247,0.26149930036655566,248.3953377080563,16482.69346624772,8.80375401369806,12.417901762819017,0.00037920947600896633,4.081268038866578,-0.4120128262247124,0.9991391507253476
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-23-29.jpg,123.859375,67.772720297402,0,253,0.006008458315385546,-0.9540614283448052,7.840851616002419,0.0005805133653257954,241.15949499860673,0.9735230952469893,4557.519299009697,0.2987582918597647,248.5616332037501,17988.917701040154,8.82861629210725,12.310902248203313,0.00043565611563304814,3.9806631307528226,-0.43083689959864074,0.9993749361673752
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-24-30.jpg,132.44447544642858,70.31685520930598,0,252,-0.2657851251983595,-1.066977817188514,7.8525605224576465,0.00042760578830370157,366.42380887445677,0.9625936153074204,4902.120024966458,0.20932680423035108,265.8809380323497,19242.056290991368,8.841704491885798,12.938428790549345,0.000248901372558092,4.679127238544733,-0.3533055160459488,0.9978774217332451
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-25-31.jpg,124.12507971938776,65.89547653156058,0,251,-0.06427193482100257,-0.9368447433448583,7.840056554649193,0.00030826018509802505,560.3667629668878,0.934825500932477,4301.844130524024,0.18253039252085168,249.13140446667376,16647.00975912918,8.819965624091338,13.305128574626728,0.00020334940769108274,5.032147600172303,-0.30359696990203544,0.9948718009972023
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-26-32.jpg,123.01054288903062,64.44357066983368,0,254,0.04887985894688057,-0.835980315089127,7.831629735366449,0.00040529228020119126,461.1365867286406,0.943879434493561,4111.733119364525,0.19742147725439319,247.02839012447475,15985.795890729425,8.816414864814714,13.011959658281429,0.0002378214058880148,4.73116219730064,-0.3393950996491853,0.9972738612702299
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-27-33.jpg,125.70180963010205,70.80265132875937,0,254,-0.03711346395528231,-1.0931323536663997,7.922073071742782,0.0002686780747293502,878.2073453071005,0.9118287564934698,4982.79867796814,0.11815941239323632,252.28402061943603,19052.987366565423,8.90081249853646,13.91992286855867,0.0001063323361093735,5.652370682643634,-0.24385891497858594,0.9888692834234402
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-28-34.jpg,128.25047831632654,65.42304383739558,0,252,-0.11550044537156243,-0.7277292047910922,7.780323017786965,0.0004908715334114487,387.90230150092066,0.9541202355212752,4232.687804976054,0.24342963509377452,257.3611715677544,16542.8489184033,8.76454234105579,12.696917420731758,0.0003046150547917837,4.547833246370514,-0.36896425093276786,0.9981939967567388
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-29-35.jpg,128.63839285714286,65.39720592814274,0,255,-0.09620946232555051,-0.9106997708417524,7.8505681489472385,0.00038645629670526515,447.87762052018365,0.9470658127743363,4234.635245328863,0.16938646692225634,258.24847541981114,16490.66336079523,8.833956039648001,13.138422849754956,0.0002050567326347539,4.815641834810742,-0.32737702033671523,0.9968471472196699
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-3-05.jpg,124.77545041454081,70.9945618908715,0,254,0.06885673603403573,-1.1046954413327,7.920964688085689,0.00022472527246553025,655.8991129915214,0.9344135626331792,5003.745458372287,0.09959638146816693,250.62134382190766,19359.082720497605,8.900607286621927,13.887360157454129,0.00010277688240764609,5.5492992961120695,-0.24757524599865158,0.9894229860146468
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-30-36.jpg,126.63789461096938,67.58304396353634,0,254,-0.052381549040085046,-0.9649466473959181,7.872136237736264,0.0003762543642878526,456.1905798849407,0.9495763448023857,4527.747431368337,0.17226464063000346,254.16645322558992,17654.79914558837,8.855249093014681,13.23774852420544,0.00019792945338165948,4.891321886952879,-0.3192731495875015,0.9964747095959092
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-31-38.jpg,126.00874920280613,63.34986047504626,0,254,-0.0995325969931588,-0.6547724177478758,7.791731550423819,0.00048595295083043923,292.43627546121405,0.9631651575400322,3973.3068579572378,0.22949223975955196,252.92129601367992,15600.79115636772,8.7762349193081,12.610276093341497,0.0003087200010748534,4.3650776942854295,-0.38235118269007723,0.9986315856418193
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-32-39.jpg,127.95334422831633,75.37472947961703,0,255,-0.04610955964175811,-1.2448751017910442,7.942953853684717,0.00033297981529417057,1360.295075896179,0.8796191870731935,5652.78217096841,0.08928287475593895,256.6565563254627,21250.83360797746,8.928344038944484,14.211624983378856,7.474423841305635e-05,6.027482157170565,-0.21206777630110205,0.9812411404508534
DATA\Rotated\Train\compass_jellyfish\rotated_5_aug-33-42.jpg,122.78394052933673,66.15692024186167,0,254,0.05846454576788812,-0.8428015422885404,7.854672265507188,0.0003798031721957267,330.59256163944303,0.9618966843103737,4341.429024238885,0.22039608391466442,246.46961872635407,17035.123535316066,8.838172066354142,12.886895877498139,0.00027582937281945164,4.558185006764327,-0.360261541122139,0.9980765885257857
