path,mean_intensity,std_intensity,min_intensity,max_intensity,skewness,kurtosis,entropy,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,haralick_9,haralick_10,haralick_11,haralick_12,haralick_13
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-76-20.jpg,66.30891262755102,56.78264743765788,14,231,1.0638037244616005,-0.22539809770030228,6.584944178244844,0.009569048256210019,257.1925195721525,0.9602512759634757,3234.5594034757805,0.40910969932714425,133.14318835768438,12681.045094330973,7.537867992369579,10.660704346802651,0.0005522432147378783,4.190504344500822,-0.38311410697543014,0.9965654931786474
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-77-21.jpg,94.63004225127551,27.28426418491752,26,198,0.12351748592417447,-0.5525034058509313,6.717967086820394,0.002093632393101459,45.62948971371263,0.9692955084971911,742.9550470343502,0.5115010214865359,189.27172038071348,2926.1906984236975,7.684357313888675,10.210405916243381,0.0010701578266059456,3.044302073997381,-0.47996751315673314,0.9991431457214405
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-78-22.jpg,72.11637037627551,42.15365221752543,31,229,1.6251188040480795,1.6368519346314034,6.2322171818869725,0.0075744168412656574,226.6005601027211,0.9365212362212583,1784.3860780645143,0.3771113796772634,144.56662142293374,6910.943752155328,7.184675026576226,10.460402572210834,0.0004966808458262174,4.148328471005126,-0.32349828654270557,0.9899978175007321
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-79-23.jpg,119.62320631377551,31.710916061135613,33,214,0.14073448464525418,-0.5881835192240157,6.970365336381086,0.00111186087267026,45.633425801774194,0.9772539147064502,1003.3156709486675,0.4210150937380603,239.34210653886927,3967.629257992905,7.951865237196968,10.813497479985548,0.0007843362412471583,3.2344661832724055,-0.44826221085228696,0.9989623342714329
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-8-09.jpg,53.95737005739796,26.014300260654988,12,204,1.5604493032351061,4.5077537530920235,6.463918773776451,0.0012619321634415558,107.02647790758053,0.9209241911775451,676.7201515246929,0.3185592168004893,107.87400265241179,2599.8541281911935,7.4287167583450895,10.837180797864246,0.0005291925295128007,3.8662280373341735,-0.3230003370460223,0.9918104653640982
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-80-24.jpg,135.39219945790816,52.45272427033566,18,212,-0.6271886816473532,-0.9601758635902553,7.200214508940122,0.002024459281421211,33.261732316835825,0.9939617466227164,2753.392617135378,0.4404610825509335,270.6794944447118,10980.308736224666,8.187116606333738,10.788951628099628,0.0008292504337282253,3.102678532523284,-0.5018496930456149,0.9995989455472538
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-81-25.jpg,73.74693080357143,68.57611308161414,7,211,0.6109743481213409,-1.209928877753545,6.61542596428867,0.022172274738923595,66.10203845018574,0.9929725827336088,4703.410716202336,0.43564968585718145,148.11038628473472,18747.540826359153,7.514495235678389,10.165097763682395,0.00070157858722867,3.5542121281478876,-0.4664831017743294,0.9988735893341771
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-82-26.JPG,83.78557477678571,26.475416223403858,20,216,1.0021109409830928,3.2468241974166263,6.477274909150426,0.002799639521601455,23.16366606561133,0.9835482973000355,703.7280237013954,0.48275142507361857,167.62361824750866,2791.748428739971,7.468154167540683,9.75147906751917,0.0010158266481695719,2.763499097793046,-0.49495245392173376,0.9990939868925384
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-83-29.jpg,98.67867107780613,37.159585919239234,5,223,-0.17688090505448217,-0.0881597867177426,7.208173908497297,0.0003382058082938431,234.010839262194,0.9150683259342683,1377.849729402716,0.18736555502352148,197.57369067578415,5277.388078348684,8.175940438074335,12.523312572583752,0.000262422244979023,4.660253982127816,-0.26229334601104887,0.9876424461621884
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-84-30.jpg,50.95208864795919,47.40103244335742,3,242,1.9521242166049981,3.2409091898856097,6.479865899945501,0.00155393642989659,407.14306204808645,0.9097941172047106,2256.3919466041393,0.2180441483849725,102.25182255682945,8618.424724368471,7.462634659746333,11.404391228578081,0.0002772299265239065,4.723613796109789,-0.24149079211313765,0.9770791787618432
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-85-31.jpg,131.4454719387755,46.09302831742726,33,248,0.7127977508323932,-0.30841520261095035,7.328970638612493,0.0010233665865604523,94.99230368777347,0.977709378626759,2130.3129913605417,0.3192026935405497,263.1483043003795,8426.259661754419,8.316183362390769,11.781533522953811,0.00040882893646675665,3.9642970412951817,-0.39301587053585946,0.9983103113025484
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-86-32.jpg,91.25440449617346,67.0622797165603,0,215,0.3155513072356207,-1.2440056243206632,7.559803952935492,0.0009986526741954445,119.72706432704547,0.9866979105569342,4500.084091515778,0.31922944895321526,182.81501301787836,17880.609301736054,8.54893129885988,11.904270740286012,0.0004708946568715867,4.046458579782435,-0.4255214713330095,0.9991419466196754
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-87-34.jpg,71.33848852040816,29.52848022825471,25,229,1.266763925880751,2.4297072349636695,6.296960324517428,0.006104796783223804,137.40209289258496,0.9214055329851901,874.0203739873334,0.3620240279116461,142.67070968847582,3358.679403056749,7.230810983243134,10.441137953041409,0.0005159356101982046,3.869115654490915,-0.34204090431254963,0.9929895385698668
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-88-35.jpg,111.29904735331633,75.2649642770501,15,244,0.6503900432684946,-1.0936027481308268,7.202670545322045,0.003959653459723735,247.40526210094433,0.97812732388555,5655.623193520544,0.35025112557003757,222.84884946948173,22375.08751198123,8.12981467046558,11.605776951199175,0.0004365699129868372,4.190594838040525,-0.3898533428460657,0.9981258492216171
DATA\Standardized_Copy\Train\lions_mane_jellyfish\aug-9-10.jpg,58.616868622448976,52.885748903362185,12,227,1.055117055316295,-0.20167803523418693,6.1341291215172875,0.02504772258212458,506.3665835794293,0.9097938450190776,2806.204888423972,0.41692426848023706,117.70877010539985,10718.452970116461,7.05039572659327,10.288774945346669,0.0005848633630947788,4.462024316723475,-0.325126988981696,0.9902233385633084
