path,mean_intensity,std_intensity,min_intensity,max_intensity,skewness,kurtosis,entropy,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,haralick_9,haralick_10,haralick_11,haralick_12,haralick_13
DATA\Equalized_Copy\Train\compass_jellyfish\09.jpg,129.03641183035714,73.31477186208855,0,255,-0.014324302852066857,-1.2011704740288183,7.695533369041072,0.0015597306546583046,488.8956328119838,0.9544015034647109,5361.215784407679,0.42788866485903154,258.2878734885939,20955.96750481873,8.67444249781011,11.567992170881409,0.0005833506025682124,4.004217888423448,-0.4968667978570923,0.9997303663993545
DATA\Equalized_Copy\Train\compass_jellyfish\10.jpg,130.54041772959184,75.01657741336442,0,255,-0.042663799831217694,-1.2385592077876408,7.768490674392475,9.9239362712517e-05,1257.4871136380611,0.8885830194550213,5642.26193194781,0.07890527942039383,260.81291771041913,21311.56061415319,8.929408553762265,13.84081446479528,8.070012796826237e-05,5.912212667400723,-0.2185869517742735,0.9821737364640062
DATA\Equalized_Copy\Train\compass_jellyfish\12.jpg,129.21737484056123,73.8186969391201,0,255,-0.014846191776412526,-1.208647158831454,7.920823680121359,0.00027727173478208126,673.9694733625895,0.9378877734308338,5427.303698334068,0.22080845270241417,259.02156485023835,21035.245319973685,8.953432885751631,12.975493173524939,0.00026282644660077467,4.723538492014933,-0.36183931311370876,0.9982479710453915
DATA\Equalized_Copy\Train\compass_jellyfish\13.jpg,128.9386360012755,72.84228364922323,0,255,0.002041942144215968,-1.176283414730258,7.639200442149882,0.0018903232919237718,489.71465627181465,0.9536302312688786,5282.962272978772,0.3165856826831796,258.00213938564883,20642.134435643275,8.64975204529858,12.170094733127097,0.00033996125987360783,4.5513603123849204,-0.40686643961935304,0.9988925192936801
DATA\Equalized_Copy\Train\compass_jellyfish\14.jpg,132.43793845663265,70.32550938893948,0,255,-0.0065111436391373,-1.1775161581586058,7.386608093170938,0.0005002259328071022,954.7295827761469,0.9033190255973567,4938.165808329417,0.1382575034781726,265.66294144620997,18797.93365054149,8.670698053272083,12.9657791671921,0.00010656247632884043,5.72710856354563,-0.24570618710530184,0.9856014722152882
DATA\Equalized_Copy\Train\compass_jellyfish\15.jpg,130.04135443239795,72.62000140721305,0,255,-0.025090686312976323,-1.1886780204452405,7.644462329882437,0.0010671568069200114,1041.1642284440595,0.9011948094076567,5268.126903068778,0.29845587385341615,260.5917168598447,20031.34338383105,8.733939011749637,12.391828273819527,0.0003047811894972491,4.80152024772118,-0.3796222890545314,0.9982771222926843
DATA\Equalized_Copy\Train\compass_jellyfish\16.jpg,128.5143494897959,73.07779247457424,0,255,0.00875690995535037,-1.2164207182130393,7.84785373959584,0.0009721756276273611,242.0229339448382,0.9773065613379712,5331.898005008555,0.2693656555261114,257.95415904200775,21085.56908608938,8.845430341078831,12.524968128578578,0.000306999308005064,4.375909058073825,-0.4043159254637605,0.9990436710779399
DATA\Equalized_Copy\Train\compass_jellyfish\17.jpg,131.66701211734693,68.53084568569497,0,255,0.1590095812704755,-1.29286094636293,6.956571108333655,0.024142011229300948,267.68457034897006,0.9714504463583516,4688.956757939036,0.3507121092731628,263.6136553647556,18488.14246140715,7.798059671970926,11.24041117009655,0.0003968758066311921,4.433540985725002,-0.3855238707994188,0.9975237116614277
DATA\Equalized_Copy\Train\compass_jellyfish\18.jpg,129.11521444515307,73.51411994968919,0,255,-0.02849350957663148,-1.1902662879239476,7.861831827016474,0.0005615269029678951,825.048229394389,0.923568716377812,5397.443412076265,0.28587390255018885,258.52342230604165,20764.725418910668,8.88775846999193,12.777355767244416,0.00029514721114938525,4.767747127236799,-0.37486909824269893,0.9985345877729205
DATA\Equalized_Copy\Train\compass_jellyfish\19.jpg,128.50845025510205,73.90558115192934,0,255,-0.01303090092909393,-1.2061105283429812,7.99318285313166,3.803306978558958e-05,3375.7450530311803,0.6910812975538513,5463.502195184709,0.03208068090218941,257.07533723405874,18478.263727707646,8.95701415042305,15.016697370046181,2.6936850747329132e-05,6.873572323385635,-0.12130247732384329,0.924156235352811
DATA\Equalized_Copy\Train\compass_jellyfish\21.jpg,130.48297991071428,75.09188401431351,0,255,-0.04098720132892662,-1.2389537119346048,7.773737197401097,9.35794970452058e-05,1388.113355996645,0.8772472225516071,5653.26116250729,0.07513133391900098,260.6900498020701,21224.931294032518,8.92332021255217,13.912227730211047,7.535315343543221e-05,5.992789959827743,-0.21061810509014764,0.9799116394549158
DATA\Equalized_Copy\Train\compass_jellyfish\22.JPG,130.123046875,74.71389043464286,0,255,-0.02317392911491942,-1.2064496963819942,7.453957891382897,0.003284835151708936,472.11856476387743,0.9577831430299899,5590.944215417425,0.34327948688413984,260.03483756962737,21891.658296905836,8.510376010969981,11.872631040762236,0.0003743619499000473,4.561447057603594,-0.4077783795355013,0.9987408040478103
DATA\Equalized_Copy\Train\compass_jellyfish\23.jpg,129.59909119897958,74.0202146303223,0,255,-0.03899448002415203,-1.2089503597068456,7.955447371938782,5.2425899261866415e-05,2775.9199778424063,0.7472396890360989,5490.610275249817,0.0481739765624444,259.3621705088007,19186.52112315686,8.963299006751779,14.70167121803425,4.133864949044993e-05,6.621966980529934,-0.15200661415896158,0.9526697532387638
DATA\Equalized_Copy\Train\compass_jellyfish\24.jpg,128.41950334821428,73.53074557735356,0,255,-0.0014219051876247612,-1.1994200914249562,7.939581486872557,0.000514631965434005,199.5320216376331,0.9814890435845829,5391.84895819265,0.37575086983355416,256.9444656556393,21367.863811132967,8.954867315365696,12.022294652854452,0.0005437386679756524,3.6638383114576136,-0.4858159300674172,0.9997553649968
DATA\Equalized_Copy\Train\compass_jellyfish\25.jpg,129.50444435586735,72.82155733948011,0,255,-0.01258689951081088,-1.192612288324601,7.687268267515725,0.0015722615234259685,692.4197302953435,0.9346432675533225,5297.609156627058,0.2917797024045604,259.46920954430163,20498.01689621287,8.691409550136237,12.442321762272146,0.00029227591393081047,4.784881745509089,-0.3818991358498224,0.9984376171633402
DATA\Equalized_Copy\Train\compass_jellyfish\27.jpg,128.6783522002551,73.74437969414895,0,255,-0.0027057841564114347,-1.211468578322058,7.871356594548907,0.0007409718951429296,220.59088915942266,0.9796653513656756,5422.594918831219,0.36380361349224416,257.5290458436512,21469.788786165434,8.892522010492444,11.924189814553387,0.00048407746235999623,3.840727970897121,-0.4850707864839819,0.9997322887089324
